"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2024","0.4979","0.5139","0.5203","0.4938","133.02M","-3.11%"
"01/30/2024","0.5139","0.5260","0.5364","0.5126","131.97M","-2.28%"
"01/29/2024","0.5259","0.4889","0.5279","0.4843","120.96M","7.26%"
"01/28/2024","0.4903","0.4860","0.5004","0.4838","97.13M","0.84%"
"01/27/2024","0.4862","0.4851","0.4899","0.4760","55.37M","0.29%"
"01/26/2024","0.4848","0.4663","0.4900","0.4630","106.52M","3.97%"
"01/25/2024","0.4663","0.4763","0.4837","0.4592","85.67M","-2.12%"
"01/24/2024","0.4764","0.4769","0.4804","0.4643","94.07M","-0.21%"
"01/23/2024","0.4774","0.4786","0.4861","0.4479","179.36M","-0.25%"
"01/22/2024","0.4786","0.5040","0.5061","0.4772","143.92M","-4.89%"
"01/21/2024","0.5032","0.5160","0.5203","0.5024","54.00M","-2.50%"
"01/20/2024","0.5161","0.5042","0.5178","0.4989","79.44M","2.34%"
"01/19/2024","0.5043","0.5021","0.5051","0.4714","119.93M","0.40%"
"01/18/2024","0.5023","0.5281","0.5281","0.4969","92.94M","-4.92%"
"01/17/2024","0.5283","0.5361","0.5395","0.5224","63.91M","-1.38%"
"01/16/2024","0.5357","0.5282","0.5482","0.5261","74.35M","1.57%"
"01/15/2024","0.5274","0.5254","0.5415","0.5233","63.59M","0.44%"
"01/14/2024","0.5251","0.5488","0.5501","0.5242","74.14M","-4.37%"
"01/13/2024","0.5491","0.5479","0.5537","0.5318","74.01M","0.24%"
"01/12/2024","0.5478","0.5821","0.5887","0.5323","158.27M","-5.88%"
"01/11/2024","0.5820","0.5671","0.6167","0.5610","287.86M","2.95%"
"01/10/2024","0.5653","0.5120","0.5891","0.4899","279.53M","10.32%"
"01/09/2024","0.5124","0.5408","0.5432","0.4970","168.92M","-5.34%"
"01/08/2024","0.5413","0.4942","0.5431","0.4648","216.08M","9.57%"
"01/07/2024","0.4940","0.5231","0.5299","0.4880","111.75M","-5.45%"
"01/06/2024","0.5225","0.5410","0.5424","0.5073","121.02M","-3.51%"
"01/05/2024","0.5415","0.5707","0.5725","0.5243","152.86M","-4.97%"
"01/04/2024","0.5698","0.5576","0.5779","0.5496","149.90M","2.33%"
"01/03/2024","0.5568","0.6047","0.6186","0.5021","319.80M","-7.94%"
"01/02/2024","0.6048","0.6224","0.6368","0.6019","160.60M","-2.95%"
"01/01/2024","0.6232","0.5936","0.6238","0.5907","91.02M","4.86%"
"12/31/2023","0.5943","0.6007","0.6099","0.5801","104.18M","-1.13%"
"12/30/2023","0.6011","0.6081","0.6130","0.5934","96.05M","-1.18%"
"12/29/2023","0.6083","0.6159","0.6256","0.5934","195.16M","-1.25%"
"12/28/2023","0.6160","0.6329","0.6759","0.6101","321.21M","-2.73%"
"12/27/2023","0.6333","0.6090","0.6428","0.5852","229.07M","4.11%"
"12/26/2023","0.6083","0.6253","0.6271","0.5740","221.95M","-2.56%"
"12/25/2023","0.6243","0.5918","0.6349","0.5897","163.65M","5.56%"
"12/24/2023","0.5914","0.6124","0.6281","0.5899","217.30M","-3.51%"
"12/23/2023","0.6129","0.6228","0.6229","0.5976","126.20M","-1.56%"
"12/22/2023","0.6226","0.6362","0.6506","0.6067","214.84M","-2.01%"
